time	count
101202.00	1.00
101207.00	0.00
101238.00	1.00
101245.00	0.00
101278.00	1.00
101282.00	0.00
101314.00	1.00
101321.00	0.00
101368.00	1.00
101374.00	0.00
101454.00	1.00
101461.00	0.00
101507.00	1.00
101515.00	0.00
101580.00	1.00
101586.00	0.00
101646.00	1.00
101652.00	0.00
101715.00	1.00
101723.00	0.00
101766.00	1.00
101772.00	0.00
101816.00	1.00
101822.00	0.00
101868.00	1.00
101875.00	0.00
101919.00	1.00
101926.00	0.00
101970.00	1.00
101977.00	0.00
102023.00	1.00
102029.00	0.00
102070.00	1.00
102077.00	0.00
102123.00	1.00
102130.00	0.00
102187.00	1.00
102192.00	0.00
102242.00	1.00
102249.00	0.00
102289.00	1.00
102294.00	0.00
102476.00	1.00
102483.00	0.00
102515.00	1.00
102520.00	0.00
102546.00	1.00
102550.00	0.00
102576.00	1.00
102580.00	0.00
102644.00	1.00
102650.00	0.00
102709.00	1.00
102716.00	0.00
102771.00	1.00
102778.00	0.00
102833.00	1.00
102839.00	0.00
102901.00	1.00
102906.00	0.00
102973.00	1.00
102978.00	0.00
103016.00	1.00
103021.00	0.00
103096.00	1.00
103101.00	0.00
103157.00	1.00
103162.00	0.00
103222.00	1.00
103227.00	0.00
103266.00	1.00
103271.00	0.00
103332.00	1.00
103337.00	0.00
103386.00	1.00
103392.00	0.00
103450.00	1.00
103455.00	0.00
103515.00	1.00
103521.00	0.00
103558.00	1.00
103563.00	0.00
103625.00	1.00
103631.00	0.00
103691.00	1.00
103698.00	0.00
103752.00	1.00
103758.00	0.00
103820.00	1.00
103825.00	0.00
104000.00	1.00
104005.00	0.00
104071.00	1.00
104077.00	0.00
104169.00	1.00
104175.00	0.00
104354.00	1.00
104361.00	0.00
104688.00	1.00
104758.00	0.00
104793.00	1.00
104831.00	0.00
104865.00	1.00
104902.00	0.00
104944.00	1.00
104982.00	0.00
105017.00	1.00
105076.00	0.00
105116.00	1.00
105124.00	0.00
105155.00	1.00
105161.00	0.00
105193.00	1.00
105198.00	0.00
105227.00	1.00
105233.00	0.00
105265.00	1.00
105271.00	0.00
105304.00	1.00
105311.00	0.00
105341.00	1.00
105348.00	0.00
105380.00	1.00
105386.00	0.00
105418.00	1.00
105424.00	0.00
105453.00	1.00
105458.00	0.00
105495.00	1.00
105548.00	0.00
105574.00	1.00
105581.00	0.00
105613.00	1.00
105618.00	0.00
105644.00	1.00
105649.00	0.00
105766.00	1.00
105772.00	0.00
105835.00	1.00
105841.00	0.00
105930.00	1.00
105937.00	0.00
106024.00	1.00
106029.00	0.00
106238.00	1.00
106308.00	0.00
106345.00	1.00
106352.00	0.00
106381.00	1.00
106424.00	0.00
106462.00	1.00
106469.00	0.00
106494.00	1.00
106535.00	0.00
106568.00	1.00
106573.00	0.00
106597.00	1.00
106640.00	0.00
106673.00	1.00
106679.00	0.00
106707.00	1.00
106751.00	0.00
106792.00	1.00
106799.00	0.00
106833.00	1.00
106840.00	0.00
106874.00	1.00
106879.00	0.00
106911.00	1.00
106919.00	0.00
106965.00	1.00
106972.00	0.00
107031.00	1.00
107038.00	0.00
107097.00	1.00
107103.00	0.00
107162.00	1.00
107169.00	0.00
107210.00	1.00
107216.00	0.00
107261.00	1.00
107266.00	0.00
107310.00	1.00
107314.00	0.00
107360.00	1.00
107365.00	0.00
107484.00	1.00
107490.00	0.00
107547.00	1.00
107554.00	0.00
107611.00	1.00
107616.00	0.00
107678.00	1.00
107685.00	0.00
107751.00	1.00
107756.00	0.00
107813.00	1.00
107818.00	0.00
107894.00	1.00
107901.00	0.00
107951.00	1.00
107955.00	0.00
108028.00	1.00
108033.00	0.00
108102.00	1.00
108109.00	0.00
108156.00	1.00
108161.00	0.00
108231.00	1.00
108237.00	0.00
108302.00	1.00
108310.00	0.00
108364.00	1.00
108369.00	0.00
108443.00	1.00
108448.00	0.00
108506.00	1.00
108512.00	0.00
108552.00	1.00
108557.00	0.00
108607.00	1.00
108611.00	0.00
108675.00	1.00
108681.00	0.00
108736.00	1.00
108743.00	0.00
108800.00	1.00
108804.00	0.00
108968.00	1.00
108975.00	0.00
109065.00	1.00
109072.00	0.00
109171.00	1.00
109176.00	0.00
109425.00	1.00
109494.00	0.00
109529.00	1.00
109567.00	0.00
109598.00	1.00
109632.00	0.00
109673.00	1.00
109679.00	0.00
109704.00	1.00
109740.00	0.00
109774.00	1.00
109780.00	0.00
109806.00	1.00
109846.00	0.00
109886.00	1.00
109893.00	0.00
109925.00	1.00
109932.00	0.00
109965.00	1.00
109971.00	0.00
110003.00	1.00
110009.00	0.00
110039.00	1.00
110046.00	0.00
110079.00	1.00
110085.00	0.00
110121.00	1.00
110127.00	0.00
110160.00	1.00
110167.00	0.00
110197.00	1.00
110203.00	0.00
110244.00	1.00
110296.00	0.00
110338.00	1.00
110343.00	0.00
110508.00	1.00
110514.00	0.00
110601.00	1.00
110608.00	0.00
110657.00	1.00
110664.00	0.00
110739.00	1.00
110744.00	0.00
110903.00	1.00
110971.00	0.00
111006.00	1.00
111046.00	0.00
111076.00	1.00
111081.00	0.00
111108.00	1.00
111149.00	0.00
111191.00	1.00
111196.00	0.00
111218.00	1.00
111250.00	0.00
111275.00	1.00
111281.00	0.00
111301.00	1.00
111305.00	0.00
111343.00	1.00
111389.00	0.00
111429.00	1.00
111434.00	0.00
111457.00	1.00
111460.00	0.00
111487.00	1.00
111493.00	0.00
111538.00	1.00
111544.00	0.00
111601.00	1.00
111606.00	0.00
111679.00	1.00
111697.00	0.00
111760.00	1.00
111765.00	0.00
111813.00	1.00
